Sector,Salary Group,Employment Group,Gender,Components,Year,Contents
All sectors,All forms of pay,Employees,Mean of men and women,"Median, standardized hourly earnings",2013,219.26
All sectors,All forms of pay,Employees,Mean of men and women,"Upper quartile, standardized hourly earnings",2013,273.07
All sectors,All forms of pay,Employees,Mean of men and women,STANDARDIZED MONTHLY EARNINGS,2013,39316.55
All sectors,All forms of pay,Employees,Mean of men and women,Number of fulltime employees in the earnings statistics,2013,1378891.0
All sectors,All forms of pay,Employees,Men,STANDARDIZED HOURLY EARNINGS,2013,263.11
All sectors,All forms of pay,Employees,Men,Fringe benefits in DKK per standard hour,2013,2.65
All sectors,All forms of pay,Employees,Men,Pension including ATP in DKK per standard hour,2013,31.85
All sectors,All forms of pay,Employees,Men,Basic earnings in DKK per standard hour,2013,219.01
All sectors,All forms of pay,Employees,Men,"Lower quartile, standardized earnings",2013,187.49
All sectors,All forms of pay,Employees,Men,"Median, standardized hourly earnings",2013,229.19
All sectors,All forms of pay,Employees,Men,"Upper quartile, standardized hourly earnings",2013,299.61
All sectors,All forms of pay,Employees,Men,STANDARDIZED MONTHLY EARNINGS,2013,42184.95
All sectors,All forms of pay,Employees,Men,Number of fulltime employees in the earnings statistics,2013,683713.0
All sectors,All forms of pay,Employees,Women,STANDARDIZED HOURLY EARNINGS,2013,225.42
All sectors,All forms of pay,Employees,Women,Fringe benefits in DKK per standard hour,2013,0.65
All sectors,All forms of pay,Employees,Women,Pension including ATP in DKK per standard hour,2013,28.22
All sectors,All forms of pay,Employees,Women,Basic earnings in DKK per standard hour,2013,189.57
All sectors,All forms of pay,Employees,Women,"Lower quartile, standardized earnings",2013,178.27
All sectors,All forms of pay,Employees,Women,"Median, standardized hourly earnings",2013,211.86
All sectors,All forms of pay,Employees,Women,"Upper quartile, standardized hourly earnings",2013,251.12
All sectors,All forms of pay,Employees,Women,STANDARDIZED MONTHLY EARNINGS,2013,36141.61
All sectors,All forms of pay,Employees,Women,Number of fulltime employees in the earnings statistics,2013,695179.0
All sectors,All forms of pay,"Employees, non-managerial level",Mean of men and women,STANDARDIZED HOURLY EARNINGS,2013,228.27
All sectors,All forms of pay,"Employees, non-managerial level",Mean of men and women,Fringe benefits in DKK per standard hour,2013,0.89
All sectors,All forms of pay,"Employees, non-managerial level",Mean of men and women,Pension including ATP in DKK per standard hour,2013,27.9
All sectors,All forms of pay,"Employees, non-managerial level",Mean of men and women,Basic earnings in DKK per standard hour,2013,191.81
All sectors,All forms of pay,"Employees, non-managerial level",Mean of men and women,"Lower quartile, standardized earnings",2013,179.03
All sectors,All forms of pay,"Employees, non-managerial level",Mean of men and women,"Median, standardized hourly earnings",2013,212.87
All sectors,All forms of pay,"Employees, non-managerial level",Mean of men and women,"Upper quartile, standardized hourly earnings",2013,256.83
All sectors,All forms of pay,"Employees, non-managerial level",Mean of men and women,STANDARDIZED MONTHLY EARNINGS,2013,36597.76
All sectors,All forms of pay,"Employees, non-managerial level",Mean of men and women,Number of fulltime employees in the earnings statistics,2013,1229925.0
All sectors,All forms of pay,"Employees, non-managerial level",Men,STANDARDIZED HOURLY EARNINGS,2013,239.47
All sectors,All forms of pay,"Employees, non-managerial level",Men,Fringe benefits in DKK per standard hour,2013,1.35
All sectors,All forms of pay,"Employees, non-managerial level",Men,Pension including ATP in DKK per standard hour,2013,28.87
All sectors,All forms of pay,"Employees, non-managerial level",Men,Basic earnings in DKK per standard hour,2013,200.72
All sectors,All forms of pay,"Employees, non-managerial level",Men,"Lower quartile, standardized earnings",2013,182.38
All sectors,All forms of pay,"Employees, non-managerial level",Men,"Median, standardized hourly earnings",2013,218.84
All sectors,All forms of pay,"Employees, non-managerial level",Men,"Upper quartile, standardized hourly earnings",2013,274.29
All sectors,All forms of pay,"Employees, non-managerial level",Men,STANDARDIZED MONTHLY EARNINGS,2013,38394.16
All sectors,All forms of pay,"Employees, non-managerial level",Men,Number of fulltime employees in the earnings statistics,2013,584795.0
All sectors,All forms of pay,"Employees, non-managerial level",Women,STANDARDIZED HOURLY EARNINGS,2013,216.82
All sectors,All forms of pay,"Employees, non-managerial level",Women,Fringe benefits in DKK per standard hour,2013,0.43
All sectors,All forms of pay,"Employees, non-managerial level",Women,Pension including ATP in DKK per standard hour,2013,26.91
All sectors,All forms of pay,"Employees, non-managerial level",Women,Basic earnings in DKK per standard hour,2013,182.71
All sectors,All forms of pay,"Employees, non-managerial level",Women,"Lower quartile, standardized earnings",2013,175.96
All sectors,All forms of pay,"Employees, non-managerial level",Women,"Median, standardized hourly earnings",2013,208.43
All sectors,All forms of pay,"Employees, non-managerial level",Women,"Upper quartile, standardized hourly earnings",2013,243.21
All sectors,All forms of pay,"Employees, non-managerial level",Women,STANDARDIZED MONTHLY EARNINGS,2013,34762.62
All sectors,All forms of pay,"Employees, non-managerial level",Women,Number of fulltime employees in the earnings statistics,2013,645130.0
All sectors,Workers paid by the hour,General managers,Mean of men and women,STANDARDIZED HOURLY EARNINGS,2013,220.86
All sectors,Workers paid by the hour,General managers,Mean of men and women,Fringe benefits in DKK per standard hour,2013,2.44
All sectors,Workers paid by the hour,General managers,Mean of men and women,Pension including ATP in DKK per standard hour,2013,24.48
All sectors,Workers paid by the hour,General managers,Mean of men and women,Basic earnings in DKK per standard hour,2013,188.26
All sectors,Workers paid by the hour,General managers,Mean of men and women,"Lower quartile, standardized earnings",2013,171.14
All sectors,Workers paid by the hour,General managers,Mean of men and women,"Median, standardized hourly earnings",2013,197.85
All sectors,Workers paid by the hour,General managers,Mean of men and women,"Upper quartile, standardized hourly earnings",2013,238.31
All sectors,Workers paid by the hour,General managers,Mean of men and women,STANDARDIZED MONTHLY EARNINGS,2013,35410.58
All sectors,Workers paid by the hour,General managers,Mean of men and women,Number of fulltime employees in the earnings statistics,2013,801.0
All sectors,Workers paid by the hour,General managers,Men,STANDARDIZED HOURLY EARNINGS,2013,230.77
All sectors,Workers paid by the hour,General managers,Men,Fringe benefits in DKK per standard hour,2013,2.76
All sectors,Workers paid by the hour,General managers,Men,Pension including ATP in DKK per standard hour,2013,26.77
All sectors,Workers paid by the hour,General managers,Men,Basic earnings in DKK per standard hour,2013,195.28
All sectors,Workers paid by the hour,General managers,Men,"Lower quartile, standardized earnings",2013,177.51
All sectors,Workers paid by the hour,General managers,Men,"Median, standardized hourly earnings",2013,204.77
All sectors,Workers paid by the hour,General managers,Men,"Upper quartile, standardized hourly earnings",2013,247.28
All sectors,Workers paid by the hour,General managers,Men,STANDARDIZED MONTHLY EARNINGS,2013,36998.76
All sectors,Workers paid by the hour,General managers,Men,Number of fulltime employees in the earnings statistics,2013,646.0
All sectors,Workers paid by the hour,General managers,Women,STANDARDIZED HOURLY EARNINGS,2013,184.47
All sectors,Workers paid by the hour,General managers,Women,Fringe benefits in DKK per standard hour,2013,1.27
All sectors,Workers paid by the hour,General managers,Women,Pension including ATP in DKK per standard hour,2013,16.07
All sectors,Workers paid by the hour,General managers,Women,Basic earnings in DKK per standard hour,2013,162.47
All sectors,Workers paid by the hour,General managers,Women,"Lower quartile, standardized earnings",2013,141.38
All sectors,Workers paid by the hour,General managers,Women,"Median, standardized hourly earnings",2013,172.2
All sectors,Workers paid by the hour,General managers,Women,"Upper quartile, standardized hourly earnings",2013,200.76
All sectors,Workers paid by the hour,General managers,Women,STANDARDIZED MONTHLY EARNINGS,2013,29576.12
All sectors,Workers paid by the hour,General managers,Women,Number of fulltime employees in the earnings statistics,2013,155.0
All sectors,Workers paid by the hour,Employees,Mean of men and women,STANDARDIZED HOURLY EARNINGS,2013,183.65
All sectors,Workers paid by the hour,Employees,Mean of men and women,Fringe benefits in DKK per standard hour,2013,0.2
All sectors,Workers paid by the hour,Employees,Mean of men and women,Pension including ATP in DKK per standard hour,2013,19.33
All sectors,Workers paid by the hour,Employees,Mean of men and women,Basic earnings in DKK per standard hour,2013,155.61
All sectors,Workers paid by the hour,Employees,Mean of men and women,"Lower quartile, standardized earnings",2013,151.67
All sectors,Workers paid by the hour,Employees,Mean of men and women,"Median, standardized hourly earnings",2013,178.24
All sectors,Workers paid by the hour,Employees,Mean of men and women,"Upper quartile, standardized hourly earnings",2013,207.29
All sectors,Workers paid by the hour,Employees,Mean of men and women,STANDARDIZED MONTHLY EARNINGS,2013,29445.29
All sectors,Workers paid by the hour,Employees,Mean of men and women,Number of fulltime employees in the earnings statistics,2013,214882.0
All sectors,Workers paid by the hour,Employees,Men,STANDARDIZED HOURLY EARNINGS,2013,190.74
All sectors,Workers paid by the hour,Employees,Men,Fringe benefits in DKK per standard hour,2013,0.22
All sectors,Workers paid by the hour,Employees,Men,Pension including ATP in DKK per standard hour,2013,21.2
All sectors,Workers paid by the hour,Employees,Men,Basic earnings in DKK per standard hour,2013,160.66
All sectors,Workers paid by the hour,Employees,Men,"Lower quartile, standardized earnings",2013,160.59
All sectors,Workers paid by the hour,Employees,Men,"Median, standardized hourly earnings",2013,186.07
All sectors,Workers paid by the hour,Employees,Men,"Upper quartile, standardized hourly earnings",2013,213.09
All sectors,Workers paid by the hour,Employees,Men,STANDARDIZED MONTHLY EARNINGS,2013,30580.88
All sectors,Workers paid by the hour,Employees,Men,Number of fulltime employees in the earnings statistics,2013,161551.0
All sectors,Workers paid by the hour,Employees,Women,STANDARDIZED HOURLY EARNINGS,2013,162.11
All sectors,Workers paid by the hour,Employees,Women,Fringe benefits in DKK per standard hour,2013,0.12
All sectors,Workers paid by the hour,Employees,Women,Pension including ATP in DKK per standard hour,2013,13.64
All sectors,Workers paid by the hour,Employees,Women,Basic earnings in DKK per standard hour,2013,140.24
All sectors,Workers paid by the hour,Employees,Women,"Lower quartile, standardized earnings",2013,135.57
All sectors,Workers paid by the hour,Employees,Women,"Median, standardized hourly earnings",2013,153.62
All sectors,Workers paid by the hour,Employees,Women,"Upper quartile, standardized hourly earnings",2013,178.28
All sectors,Workers paid by the hour,Employees,Women,STANDARDIZED MONTHLY EARNINGS,2013,25991.82
All sectors,Workers paid by the hour,Employees,Women,Number of fulltime employees in the earnings statistics,2013,53332.0
All sectors,Workers paid by the hour,"Employees, non-managerial level",Mean of men and women,STANDARDIZED HOURLY EARNINGS,2013,183.5
All sectors,Workers paid by the hour,"Employees, non-managerial level",Mean of men and women,Fringe benefits in DKK per standard hour,2013,0.19
All sectors,Workers paid by the hour,"Employees, non-managerial level",Mean of men and women,Pension including ATP in DKK per standard hour,2013,19.31
All sectors,Workers paid by the hour,"Employees, non-managerial level",Mean of men and women,Basic earnings in DKK per standard hour,2013,155.47
All sectors,Workers paid by the hour,"Employees, non-managerial level",Mean of men and women,"Lower quartile, standardized earnings",2013,151.63
All sectors,Workers paid by the hour,"Employees, non-managerial level",Mean of men and women,"Median, standardized hourly earnings",2013,178.17
All sectors,Workers paid by the hour,"Employees, non-managerial level",Mean of men and women,"Upper quartile, standardized hourly earnings",2013,207.19
All sectors,Workers paid by the hour,"Employees, non-managerial level",Mean of men and women,STANDARDIZED MONTHLY EARNINGS,2013,29420.45
All sectors,Workers paid by the hour,"Employees, non-managerial level",Mean of men and women,Number of fulltime employees in the earnings statistics,2013,214081.0
All sectors,Workers paid by the hour,"Employees, non-managerial level",Men,STANDARDIZED HOURLY EARNINGS,2013,190.56
All sectors,Workers paid by the hour,"Employees, non-managerial level",Men,Fringe benefits in DKK per standard hour,2013,0.21
All sectors,Workers paid by the hour,"Employees, non-managerial level",Men,Pension including ATP in DKK per standard hour,2013,21.18
All sectors,Workers paid by the hour,"Employees, non-managerial level",Men,Basic earnings in DKK per standard hour,2013,160.51
All sectors,Workers paid by the hour,"Employees, non-managerial level",Men,"Lower quartile, standardized earnings",2013,160.53
All sectors,Workers paid by the hour,"Employees, non-managerial level",Men,"Median, standardized hourly earnings",2013,186.0
All sectors,Workers paid by the hour,"Employees, non-managerial level",Men,"Upper quartile, standardized hourly earnings",2013,212.98
All sectors,Workers paid by the hour,"Employees, non-managerial level",Men,STANDARDIZED MONTHLY EARNINGS,2013,30552.95
All sectors,Workers paid by the hour,"Employees, non-managerial level",Men,Number of fulltime employees in the earnings statistics,2013,160904.0
All sectors,Workers paid by the hour,"Employees, non-managerial level",Women,STANDARDIZED HOURLY EARNINGS,2013,162.03
All sectors,Workers paid by the hour,"Employees, non-managerial level",Women,Fringe benefits in DKK per standard hour,2013,0.12
All sectors,Workers paid by the hour,"Employees, non-managerial level",Women,Pension including ATP in DKK per standard hour,2013,13.64
All sectors,Workers paid by the hour,"Employees, non-managerial level",Women,Basic earnings in DKK per standard hour,2013,140.16
All sectors,Workers paid by the hour,"Employees, non-managerial level",Women,"Lower quartile, standardized earnings",2013,135.56
All sectors,Workers paid by the hour,"Employees, non-managerial level",Women,"Median, standardized hourly earnings",2013,153.59
All sectors,Workers paid by the hour,"Employees, non-managerial level",Women,"Upper quartile, standardized hourly earnings",2013,178.2
All sectors,Workers paid by the hour,"Employees, non-managerial level",Women,STANDARDIZED MONTHLY EARNINGS,2013,25978.92
All sectors,Workers paid by the hour,"Employees, non-managerial level",Women,Number of fulltime employees in the earnings statistics,2013,53177.0
All sectors,Fixed salary-earners,General managers,Mean of men and women,STANDARDIZED HOURLY EARNINGS,2013,378.31
All sectors,Fixed salary-earners,General managers,Mean of men and women,Fringe benefits in DKK per standard hour,2013,8.05
All sectors,Fixed salary-earners,General managers,Mean of men and women,Pension including ATP in DKK per standard hour,2013,47.61
All sectors,Fixed salary-earners,General managers,Mean of men and women,Basic earnings in DKK per standard hour,2013,308.77
All sectors,Fixed salary-earners,General managers,Mean of men and women,"Lower quartile, standardized earnings",2013,253.22
All sectors,Fixed salary-earners,General managers,Mean of men and women,"Median, standardized hourly earnings",2013,325.39
All sectors,Fixed salary-earners,General managers,Mean of men and women,"Upper quartile, standardized hourly earnings",2013,446.83
All sectors,Fixed salary-earners,General managers,Mean of men and women,STANDARDIZED MONTHLY EARNINGS,2013,60654.3
All sectors,Fixed salary-earners,General managers,Mean of men and women,Number of fulltime employees in the earnings statistics,2013,148165.0
All sectors,Fixed salary-earners,General managers,Men,STANDARDIZED HOURLY EARNINGS,2013,400.95
All sectors,Fixed salary-earners,General managers,Men,Fringe benefits in DKK per standard hour,2013,10.27
All sectors,Fixed salary-earners,General managers,Men,Pension including ATP in DKK per standard hour,2013,49.23
All sectors,Fixed salary-earners,General managers,Men,Basic earnings in DKK per standard hour,2013,325.58
All sectors,Fixed salary-earners,General managers,Men,"Lower quartile, standardized earnings",2013,262.17
All sectors,Fixed salary-earners,General managers,Men,"Median, standardized hourly earnings",2013,345.25
All sectors,Fixed salary-earners,General managers,Men,"Upper quartile, standardized hourly earnings",2013,474.02
All sectors,Fixed salary-earners,General managers,Men,STANDARDIZED MONTHLY EARNINGS,2013,64284.1
All sectors,Fixed salary-earners,General managers,Men,Number of fulltime employees in the earnings statistics,2013,98272.0
All sectors,Fixed salary-earners,General managers,Women,STANDARDIZED HOURLY EARNINGS,2013,330.05
All sectors,Fixed salary-earners,General managers,Women,Fringe benefits in DKK per standard hour,2013,3.34
All sectors,Fixed salary-earners,General managers,Women,Pension including ATP in DKK per standard hour,2013,44.18
All sectors,Fixed salary-earners,General managers,Women,Basic earnings in DKK per standard hour,2013,272.93
All sectors,Fixed salary-earners,General managers,Women,"Lower quartile, standardized earnings",2013,241.06
All sectors,Fixed salary-earners,General managers,Women,"Median, standardized hourly earnings",2013,292.17
All sectors,Fixed salary-earners,General managers,Women,"Upper quartile, standardized hourly earnings",2013,382.5
All sectors,Fixed salary-earners,General managers,Women,STANDARDIZED MONTHLY EARNINGS,2013,52916.36
All sectors,Fixed salary-earners,General managers,Women,Number of fulltime employees in the earnings statistics,2013,49894.0
All sectors,Fixed salary-earners,Employees,Mean of men and women,STANDARDIZED HOURLY EARNINGS,2013,258.23
All sectors,Fixed salary-earners,Employees,Mean of men and women,Fringe benefits in DKK per standard hour,2013,2.02
All sectors,Fixed salary-earners,Employees,Mean of men and women,Pension including ATP in DKK per standard hour,2013,32.41
All sectors,Fixed salary-earners,Employees,Mean of men and women,Basic earnings in DKK per standard hour,2013,215.47
All sectors,Fixed salary-earners,Employees,Mean of men and women,"Lower quartile, standardized earnings",2013,193.02
All sectors,Fixed salary-earners,Employees,Mean of men and women,"Median, standardized hourly earnings",2013,229.35
All sectors,Fixed salary-earners,Employees,Mean of men and women,"Upper quartile, standardized hourly earnings",2013,287.96
All sectors,Fixed salary-earners,Employees,Mean of men and women,STANDARDIZED MONTHLY EARNINGS,2013,41401.69
All sectors,Fixed salary-earners,Employees,Mean of men and women,Number of fulltime employees in the earnings statistics,2013,1164009.0
All sectors,Fixed salary-earners,Employees,Men,STANDARDIZED HOURLY EARNINGS,2013,287.21
All sectors,Fixed salary-earners,Employees,Men,Fringe benefits in DKK per standard hour,2013,3.47
All sectors,Fixed salary-earners,Employees,Men,Pension including ATP in DKK per standard hour,2013,35.4
All sectors,Fixed salary-earners,Employees,Men,Basic earnings in DKK per standard hour,2013,238.43
All sectors,Fixed salary-earners,Employees,Men,"Lower quartile, standardized earnings",2013,204.67
All sectors,Fixed salary-earners,Employees,Men,"Median, standardized hourly earnings",2013,252.46
All sectors,Fixed salary-earners,Employees,Men,"Upper quartile, standardized hourly earnings",2013,328.79
All sectors,Fixed salary-earners,Employees,Men,STANDARDIZED MONTHLY EARNINGS,2013,46049.05
All sectors,Fixed salary-earners,Employees,Men,Number of fulltime employees in the earnings statistics,2013,522162.0
All sectors,Fixed salary-earners,Employees,Women,STANDARDIZED HOURLY EARNINGS,2013,231.75
All sectors,Fixed salary-earners,Employees,Women,Fringe benefits in DKK per standard hour,2013,0.71
All sectors,Fixed salary-earners,Employees,Women,Pension including ATP in DKK per standard hour,2013,29.68
All sectors,Fixed salary-earners,Employees,Women,Basic earnings in DKK per standard hour,2013,194.5
All sectors,Fixed salary-earners,Employees,Women,"Lower quartile, standardized earnings",2013,185.49
All sectors,Fixed salary-earners,Employees,Women,"Median, standardized hourly earnings",2013,216.49
All sectors,Fixed salary-earners,Employees,Women,"Upper quartile, standardized hourly earnings",2013,255.76
All sectors,Fixed salary-earners,Employees,Women,STANDARDIZED MONTHLY EARNINGS,2013,37156.74
All sectors,Fixed salary-earners,Employees,Women,Number of fulltime employees in the earnings statistics,2013,641847.0
All sectors,Fixed salary-earners,"Employees, non-managerial level",Mean of men and women,STANDARDIZED HOURLY EARNINGS,2013,239.18
All sectors,Fixed salary-earners,"Employees, non-managerial level",Mean of men and women,Fringe benefits in DKK per standard hour,2013,1.07
All sectors,Fixed salary-earners,"Employees, non-managerial level",Mean of men and women,Pension including ATP in DKK per standard hour,2013,30.0
All sectors,Fixed salary-earners,"Employees, non-managerial level",Mean of men and women,Basic earnings in DKK per standard hour,2013,200.67
All sectors,Fixed salary-earners,"Employees, non-managerial level",Mean of men and women,"Lower quartile, standardized earnings",2013,188.79
All sectors,Fixed salary-earners,"Employees, non-managerial level",Mean of men and women,"Median, standardized hourly earnings",2013,221.87
All sectors,Fixed salary-earners,"Employees, non-managerial level",Mean of men and women,"Upper quartile, standardized hourly earnings",2013,268.71
All sectors,Fixed salary-earners,"Employees, non-managerial level",Mean of men and women,STANDARDIZED MONTHLY EARNINGS,2013,38347.11
All sectors,Fixed salary-earners,"Employees, non-managerial level",Mean of men and women,Number of fulltime employees in the earnings statistics,2013,1015844.0
All sectors,Fixed salary-earners,"Employees, non-managerial level",Men,STANDARDIZED HOURLY EARNINGS,2013,259.62
All sectors,Fixed salary-earners,"Employees, non-managerial level",Men,Fringe benefits in DKK per standard hour,2013,1.82
All sectors,Fixed salary-earners,"Employees, non-managerial level",Men,Pension including ATP in DKK per standard hour,2013,32.05
All sectors,Fixed salary-earners,"Employees, non-managerial level",Men,Basic earnings in DKK per standard hour,2013,217.29
All sectors,Fixed salary-earners,"Employees, non-managerial level",Men,"Lower quartile, standardized earnings",2013,197.94
All sectors,Fixed salary-earners,"Employees, non-managerial level",Men,"Median, standardized hourly earnings",2013,239.41
All sectors,Fixed salary-earners,"Employees, non-managerial level",Men,"Upper quartile, standardized hourly earnings",2013,300.51
All sectors,Fixed salary-earners,"Employees, non-managerial level",Men,STANDARDIZED MONTHLY EARNINGS,2013,41624.7
All sectors,Fixed salary-earners,"Employees, non-managerial level",Men,Number of fulltime employees in the earnings statistics,2013,423891.0
All sectors,Fixed salary-earners,"Employees, non-managerial level",Women,STANDARDIZED HOURLY EARNINGS,2013,222.78
All sectors,Fixed salary-earners,"Employees, non-managerial level",Women,Fringe benefits in DKK per standard hour,2013,0.47
All sectors,Fixed salary-earners,"Employees, non-managerial level",Women,Pension including ATP in DKK per standard hour,2013,28.36
All sectors,Fixed salary-earners,"Employees, non-managerial level",Women,Basic earnings in DKK per standard hour,2013,187.34
All sectors,Fixed salary-earners,"Employees, non-managerial level",Women,"Lower quartile, standardized earnings",2013,183.29
All sectors,Fixed salary-earners,"Employees, non-managerial level",Women,"Median, standardized hourly earnings",2013,212.96
All sectors,Fixed salary-earners,"Employees, non-managerial level",Women,"Upper quartile, standardized hourly earnings",2013,247.65
All sectors,Fixed salary-earners,"Employees, non-managerial level",Women,STANDARDIZED MONTHLY EARNINGS,2013,35717.9
All sectors,Fixed salary-earners,"Employees, non-managerial level",Women,Number of fulltime employees in the earnings statistics,2013,591953.0
General government,All forms of pay,General managers,Mean of men and women,STANDARDIZED HOURLY EARNINGS,2013,335.75
General government,All forms of pay,General managers,Mean of men and women,Fringe benefits in DKK per standard hour,2013,0.31
General government,All forms of pay,General managers,Mean of men and women,Pension including ATP in DKK per standard hour,2013,46.77
General government,All forms of pay,General managers,Mean of men and women,Basic earnings in DKK per standard hour,2013,273.9
General government,All forms of pay,General managers,Mean of men and women,"Lower quartile, standardized earnings",2013,250.69
General government,All forms of pay,General managers,Mean of men and women,"Median, standardized hourly earnings",2013,298.73
General government,All forms of pay,General managers,Mean of men and women,"Upper quartile, standardized hourly earnings",2013,390.53
General government,All forms of pay,General managers,Mean of men and women,STANDARDIZED MONTHLY EARNINGS,2013,53831.32
General government,All forms of pay,General managers,Mean of men and women,Number of fulltime employees in the earnings statistics,2013,53043.0
General government,All forms of pay,General managers,Men,STANDARDIZED HOURLY EARNINGS,2013,353.68
General government,All forms of pay,General managers,Men,Fringe benefits in DKK per standard hour,2013,0.35
General government,All forms of pay,General managers,Men,Pension including ATP in DKK per standard hour,2013,48.42
General government,All forms of pay,General managers,Men,Basic earnings in DKK per standard hour,2013,284.28
General government,All forms of pay,General managers,Men,"Lower quartile, standardized earnings",2013,255.08
General government,All forms of pay,General managers,Men,"Median, standardized hourly earnings",2013,317.82
General government,All forms of pay,General managers,Men,"Upper quartile, standardized hourly earnings",2013,432.16
General government,All forms of pay,General managers,Men,STANDARDIZED MONTHLY EARNINGS,2013,56706.15
General government,All forms of pay,General managers,Men,Number of fulltime employees in the earnings statistics,2013,27035.0
General government,All forms of pay,General managers,Women,STANDARDIZED HOURLY EARNINGS,2013,317.08
General government,All forms of pay,General managers,Women,Fringe benefits in DKK per standard hour,2013,0.27
General government,All forms of pay,General managers,Women,Pension including ATP in DKK per standard hour,2013,45.06
General government,All forms of pay,General managers,Women,Basic earnings in DKK per standard hour,2013,263.1
General government,All forms of pay,General managers,Women,"Lower quartile, standardized earnings",2013,248.02
General government,All forms of pay,General managers,Women,"Median, standardized hourly earnings",2013,284.41
General government,All forms of pay,General managers,Women,"Upper quartile, standardized hourly earnings",2013,355.84
General government,All forms of pay,General managers,Women,STANDARDIZED MONTHLY EARNINGS,2013,50837.86
General government,All forms of pay,General managers,Women,Number of fulltime employees in the earnings statistics,2013,26009.0
General government,All forms of pay,Employees,Mean of men and women,STANDARDIZED HOURLY EARNINGS,2013,231.42
General government,All forms of pay,Employees,Mean of men and women,Fringe benefits in DKK per standard hour,2013,0.1
General government,All forms of pay,Employees,Mean of men and women,Pension including ATP in DKK per standard hour,2013,29.97
General government,All forms of pay,Employees,Mean of men and women,Basic earnings in DKK per standard hour,2013,192.36
General government,All forms of pay,Employees,Mean of men and women,"Lower quartile, standardized earnings",2013,189.27
General government,All forms of pay,Employees,Mean of men and women,"Median, standardized hourly earnings",2013,217.82
General government,All forms of pay,Employees,Mean of men and women,"Upper quartile, standardized hourly earnings",2013,254.69
General government,All forms of pay,Employees,Mean of men and women,STANDARDIZED MONTHLY EARNINGS,2013,37103.14
General government,All forms of pay,Employees,Mean of men and women,Number of fulltime employees in the earnings statistics,2013,611947.0
General government,All forms of pay,Employees,Men,STANDARDIZED HOURLY EARNINGS,2013,252.85
General government,All forms of pay,Employees,Men,Fringe benefits in DKK per standard hour,2013,0.16
General government,All forms of pay,Employees,Men,Pension including ATP in DKK per standard hour,2013,33.19
General government,All forms of pay,Employees,Men,Basic earnings in DKK per standard hour,2013,209.08
General government,All forms of pay,Employees,Men,"Lower quartile, standardized earnings",2013,198.78
